Date,Open,High,Low,Close,Volume
2012-10-01,2551.3,2620.2,2549.0,2609.65,1103286.0
2012-10-02,2578.275,2619.675,2554.75,2593.95,1040619.5
2012-10-03,2605.25,2619.15,2560.5,2578.25,977953.0
2012-10-04,2575.1,2594.9,2557.05,2575.65,895535.0
2012-10-05,2585.0,2585.0,2060.55,2526.85,1454000.0
2012-10-08,2524.8,2542.9,2460.0,2488.2,1009680.0
2012-10-09,2505.0,2550.0,2484.0,2536.25,1135540.0
2012-10-10,2507.1,2528.15,2489.6,2504.15,741513.0
2012-10-11,2496.0,2580.05,2481.2,2533.2,1870800.0
2012-10-12,2350.0,2447.85,2311.0,2395.35,7087722.0
2012-10-15,2385.7,2412.0,2352.8,2365.6,1848765.0
2012-10-16,2379.9,2389.0,2347.0,2355.7,910256.0
2012-10-17,2376.05,2379.0,2357.25,2370.15,713415.0
2012-10-18,2364.0,2397.0,2345.1,2377.6,1274072.0
2012-10-19,2366.0,2397.0,2366.0,2383.35,1367150.0
2012-10-22,2368.25,2398.0,2368.25,2385.55,570858.0
2012-10-23,2362.0,2384.0,2350.0,2353.1,592893.0
2012-10-24,2352.5,2370.55,2340.075,2348.925,999995.0
2012-10-25,2343.0,2357.1,2330.15,2344.75,1407097.0
2012-10-26,2334.7,2344.8,2321.05,2329.6,427536.0
2012-10-29,2321.0,2339.0,2307.3,2335.5,592083.0
2012-10-30,2326.0,2365.0,2326.0,2358.35,716032.0
2012-10-31,2350.0,2374.5,2345.55,2363.0,814665.0
2012-11-01,2362.0,2370.0,2341.1,2364.65,876372.0
2012-11-02,2371.0,2404.6,2369.1,2388.1,881152.0
2012-11-05,2383.1,2390.6,2367.5,2378.45,619900.0
2012-11-06,2384.0,2406.5,2371.25,2381.65,851971.0
2012-11-07,2382.0,2414.0,2375.05,2404.4,586908.0
2012-11-08,2372.0,2384.55,2365.0,2375.3,653645.0
2012-11-09,2365.0,2365.0,2345.0,2348.7,742365.0
2012-11-12,2355.0,2369.0,2333.55,2358.95,462024.0
2012-11-13,2354.0,2360.0,2333.0,2338.3,70407.0
2012-11-14,2344.575,2348.5,2305.9,2317.3,606019.0
2012-11-15,2335.15,2337.0,2278.8,2296.3,1141631.0
2012-11-16,2291.0,2387.0,2291.0,2343.35,1711638.0
2012-11-19,2344.0,2381.2,2336.65,2358.55,504516.0
2012-11-20,2377.15,2377.15,2312.8,2324.75,680038.0
2012-11-21,2329.7,2363.9,2321.4,2349.85,873726.0
2012-11-22,2348.0,2392.0,2335.0,2382.6,728414.0
2012-11-23,2382.0,2399.0,2357.05,2377.55,434717.0
2012-11-26,2390.75,2421.0,2390.75,2417.4,473507.0
2012-11-27,2422.0,2480.0,2421.85,2470.65,714663.0
2012-11-28,2436.0,2469.625,2424.175,2457.95,1005150.0
2012-11-29,2450.0,2459.25,2426.5,2445.25,1295637.0
2012-11-30,2441.6,2476.45,2425.05,2436.85,881339.0
2012-12-03,2437.0,2453.0,2424.35,2439.15,650373.0
2012-12-04,2429.0,2447.0,2415.0,2437.45,563786.0
2012-12-05,2429.0,2430.0,2377.5,2382.5,1749378.0
2012-12-06,2394.0,2394.0,2313.95,2338.3,1376491.0
2012-12-07,2321.0,2348.5,2311.1,2321.15,1185739.0
2012-12-10,2320.95,2344.0,2299.0,2313.55,853740.0
2012-12-11,2316.0,2336.05,2282.85,2294.05,1423053.0
2012-12-12,2310.0,2323.8,2286.25,2297.8,1919961.0
2012-12-13,2304.95,2313.65,2272.4,2283.55,1245889.0
2012-12-14,2273.0,2295.05,2266.0,2278.8,1063499.0
2012-12-17,2267.0,2291.85,2256.95,2266.25,1370205.0
2012-12-18,2260.0,2274.2,2245.0,2271.0,1036500.0
2012-12-19,2274.0,2299.9,2270.05,2296.15,1248987.0
2012-12-20,2306.1,2310.0,2278.0,2299.6,1055216.0
2012-12-21,2299.0,2321.3,2286.8,2296.85,865502.0
2012-12-24,2321.1,2328.4,2313.0,2322.3,540499.0
2012-12-25,2322.05,2329.65,2308.675,2318.775,474222.0
2012-12-26,2323.0,2330.9,2304.35,2315.25,407945.0
2012-12-27,2327.8,2329.0,2276.65,2287.75,1013779.0
2012-12-28,2302.1,2325.5,2288.45,2323.2,883032.0
2012-12-31,2315.0,2324.1,2303.7,2318.7,431478.0
2013-01-01,2327.6,2329.9,2305.55,2308.85,369999.0
2013-01-02,2316.2,2328.0,2303.5,2309.2,543743.0
2013-01-03,2315.0,2348.85,2311.0,2337.9,1324911.0
